Date,Cases,Deaths,Recovered
01/01/2021,233,13,113
01/02/2021,291,2,217
01/03/2021,218,13,221
01/04/2021,146,3,133
01/05/2021,297,3,45
01/06/2021,272,4,290
01/07/2021,355,4,180
01/08/2021,379,7,147
01/09/2021,301,7,136
01/10/2021,282,9,234
01/11/2021,285,9,200
01/12/2021,268,3,150
1/13/2021,319,5,178
1/14/2021,291,8,128
1/15/2021,262,18,248
1/16/2021,302,12,298
1/17/2021,277,9,173
1/18/2021,295,6,287
1/19/2021,287,1,107
1/20/2021,287,13,188
1/21/2021,456,9,207
1/22/2021,478,5,374
1/23/2021,473,8,117
1/24/2021,210,9,186
1/25/2021,310,15,408
1/26/2021,325,6,311
1/27/2021,427,15,383
1/28/2021,359,9,383
1/29/2021,414,3,210
1/30/2021,317,7,262
1/31/2021,254,14,409
02/01/2021,222,7,260
02/02/2021,226,6,271
02/03/2021,312,4,312
02/04/2021,321,6,229
02/05/2021,280,2,164
02/06/2021,217,4,266
02/07/2021,145,3,215
02/08/2021,206,13,255
02/09/2021,228,4,328
02/10/2021,291,7,257
02/11/2021,261,3,259
02/12/2021,278,11,175
2/13/2021,113,9,370
2/14/2021,108,9,247
2/15/2021,135,5,139
2/16/2021,165,5,262
2/17/2021,229,3,227
2/18/2021,255,11,118
2/19/2021,263,4,259
2/20/2021,201,5,128
2/21/2021,175,8,257
2/22/2021,138,7,227
2/23/2021,228,10,242
2/24/2021,201,6,253
2/25/2021,228,3,256
2/26/2021,174,4,223
2/27/2021,228,7,218
2/28/2021,170,4,259
03/01/2021,144,4,274
03/02/2021,150,4,266
03/03/2021,229,7,160
03/04/2021,228,5,280
03/05/2021,175,0,95
03/06/2021,89,5,249
03/07/2021,149,4,105
03/08/2021,167,6,161
03/09/2021,176,2,190
03/10/2021,178,6,141
03/11/2021,128,1,295
03/12/2021,203,0,170
3/13/2021,188,3,259
3/14/2021,90,4,266
3/15/2021,140,3,151
3/16/2021,170,6,211
3/17/2021,270,1,74
3/18/2021,257,6,125
3/19/2021,161,3,200
3/20/2021,242,5,100
3/21/2021,95,4,60
3/22/2021,143,4,174
3/23/2021,205,3,220
3/24/2021,254,4,150
3/25/2021,258,1,193
3/26/2021,232,8,140
3/27/2021,140,11,200
3/28/2021,127,6,179
3/29/2021,106,6,172
3/30/2021,283,5,238
3/31/2021,272,4,231
04/01/2021,176,5,280
04/02/2021,254,3,165
04/03/2021,118,7,231
04/04/2021,123,2,183
04/05/2021,135,1,227
04/06/2021,233,7,207
04/07/2021,272,1,200
04/08/2021,220,5,210
04/09/2021,222,6,151
04/10/2021,230,7,177
04/11/2021,130,6,203
04/12/2021,131,3,265
4/13/2021,232,7,231
4/14/2021,292,5,290
4/15/2021,221,5,267
4/16/2021,218,6,201
4/17/2021,158,9,281
4/18/2021,143,6,225
4/19/2021,170,6,168
4/20/2021,210,4,243
4/21/2021,229,9,242
4/22/2021,257,8,274
4/23/2021,137,5,260
4/24/2021,149,4,262
4/25/2021,223,5,251
4/26/2021,184,2,225
4/27/2021,164,5,212
4/28/2021,292,5,200
4/29/2021,259,2,313
4/30/2021,262,1,257
05/01/2021,128,4,330
05/02/2021,180,5,308
05/03/2021,157,5,332
05/04/2021,159,11,254
05/05/2021,232,6,261
05/06/2021,229,5,319
05/07/2021,184,11,271
05/08/2021,137,10,261
05/09/2021,140,10,202
05/10/2021,142,5,215
05/11/2021,154,5,307
05/12/2021,217,8,232
5/13/2021,105,4,240
5/14/2021,97,13,165
5/15/2021,94,5,266
5/16/2021,135,5,158
5/17/2021,136,8,170
5/18/2021,155,3,212
5/19/2021,227,10,190
5/20/2021,269,10,225
5/21/2021,198,10,263
5/22/2021,138,6,212
5/23/2021,152,6,185
5/24/2021,149,7,200
5/25/2021,215,10,191
5/26/2021,190,6,191
5/27/2021,186,7,204
5/28/2021,180,4,195
5/29/2021,211,9,169
5/30/2021,176,12,167
5/31/2021,158,7,141
06/01/2021,219,9,178
06/02/2021,268,4,129
06/03/2021,206,7,145
06/04/2021,299,5,161
06/05/2021,150,6,107
06/06/2021,295,5,211
06/07/2021,253,5,207
06/08/2021,237,8,200
06/09/2021,304,7,210
06/10/2021,455,9,233
06/11/2021,417,9,217
06/12/2021,436,10,210
6/13/2021,466,8,226
6/14/2021,428,5,208
6/15/2021,438,17,211
6/16/2021,534,15,278
6/17/2021,595,18,270
6/18/2021,592,12,237
6/19/2021,638,10,275
6/20/2021,665,15,280
6/21/2021,662,12,218
6/22/2021,675,15,260
6/23/2021,694,17,273
6/24/2021,791,11,258
6/25/2021,783,16,277
6/26/2021,782,22,233
6/27/2021,831,19,308
6/28/2021,859,32,330
6/29/2021,850,18,390
6/30/2021,892,30,351
07/01/2021,895,37,365
07/02/2021,922,24,352
07/03/2021,1358,36,424
07/04/2021,1615,38,524
07/05/2021,1465,32,623
07/06/2021,1386,54,779
07/07/2021,1370,33,800
07/08/2021,1424,38,918
07/09/2021,1665,44,902
07/10/2021,1809,38,718
07/11/2021,1895,50,710
07/12/2021,1731,47,782
7/13/2021,2731,39,842
7/14/2021,2350,66,1044
7/15/2021,2706,54,1026
7/16/2021,1661,65,1235
7/17/2021,2522,85,1068
7/18/2021,2119,48,779
7/19/2021,1992,53,1333
7/20/2021,1872,69,1152
7/21/2021,1648,87,1038
7/22/2021,1978,88,1033
7/23/2021,1431,97,976
7/24/2021,1628,87,1093
7/25/2021,2145,59,1115
7/26/2021,2667,77,1017
7/27/2021,2732,104,1125
7/28/2021,2282,67,1242
7/29/2021,1920,58,1110
7/30/2021,1932,93,1811
7/31/2021,1522,76,1297
08/01/2021,1303,58,889
08/02/2021,1566,46,1508
08/03/2021,1445,85,1006
08/04/2021,1862,44,1125
08/05/2021,1461,59,1139
08/06/2021,1639,72,2088
08/07/2021,1378,83,2116
08/08/2021,1194,51,2092
08/09/2021,733,59,3212
08/10/2021,1487,62,2647
08/11/2021,1510,52,3377
08/12/2021,1083,30,2770
8/13/2021,1243,65,2939
8/14/2021,1788,42,1461
8/15/2021,933,81,1318
8/16/2021,702,36,1181
8/17/2021,1106,44,2818
8/18/2021,634,33,2312
8/19/2021,1175,57,2119
8/20/2021,820,47,2347
8/21/2021,930,29,2541
8/22/2021,783,39,1125
8/23/2021,507,39,1554
8/24/2021,748,39,1723
8/25/2021,873,39,1207
8/26/2021,795,15,1383
8/27/2021,688,21,1114
8/28/2021,525,31,1054
8/29/2021,398,22,737
8/30/2021,237,35,970
8/31/2021,539,33,1127
09/01/2021,470,26,1030
09/02/2021,384,30,1045
09/03/2021,353,18,1079
09/04/2021,279,25,1195
09/05/2021,260,21,983
09/06/2021,198,15,648
09/07/2021,252,12,788
09/08/2021,213,9,656
09/09/2021,183,18,658
09/10/2021,212,13,662
09/11/2021,180,13,561
09/12/2021,146,11,446
9/13/2021,83,13,325
9/14/2021,144,11,441
9/15/2021,174,15,485
9/16/2021,111,9,611
9/17/2021,131,6,444
9/18/2021,134,7,410
9/19/2021,106,9,330
9/20/2021,83,9,360
9/21/2021,95,7,305
9/22/2021,105,5,264
9/23/2021,100,7,416
9/24/2021,85,5,251
9/25/2021,96,5,249
9/26/2021,61,3,115
9/27/2021,60,6,156
9/28/2021,71,3,132
9/29/2021,75,5,125
9/30/2021,67,5,190
10/01/2021,64,2,135
10/02/2021,54,4,117
10/03/2021,56,4,108
10/04/2021,44,5,109
10/05/2021,50,2,114
10/06/2021,45,4,108
10/07/2021,33,1,83
10/08/2021,37,1,73
10/09/2021,43,2,94
10/10/2021,36,2,75
10/11/2021,18,6,78
10/12/2021,33,3,81
10/13/2021,43,2,88
10/14/2021,34,1,84
10/15/2021,32,2,87
10/16/2021,28,0,62
10/17/2021,15,0,56
10/18/2021,15,0,60
10/19/2021,20,1,51
10/20/2021,35,3,51
10/21/2021,12,0,35
10/22/2021,26,2,39
10/23/2021,30,2,59
10/24/2021,25,1,36
10/25/2021,13,1,25
10/26/2021,32,0,40
10/27/2021,27,1,34
10/28/2021,30,2,40
10/29/2021,38,1,19
10/30/2021,32,1,26
10/31/2021,20,0,21
11/01/2021,13,1,17
11/02/2021,29,1,29
11/03/2021,89,1,28
11/04/2021,48,1,25
11/05/2021,39,0,25
11/06/2021,26,1,25
11/07/2021,25,0,33
11/08/2021,33,0,20
11/09/2021,15,1,33
11/10/2021,59,1,23
11/11/2021,34,1,20
11/12/2021,28,1,20
11/13/2021,22,1,34
11/14/2021,16,1,49
11/15/2021,10,0,35
11/16/2021,37,2,35
11/17/2021,25,2,27
11/18/2021,31,1,36
11/19/2021,16,0,24
11/20/2021,10,0,17
11/21/2021,11,0,18
11/22/2021,12,0,14
11/23/2021,15,0,22
11/24/2021,35,0,33
11/25/2021,79,0,20
11/26/2021,33,0,17
11/27/2021,68,0,30
11/28/2021,18,0,10
11/29/2021,5,0,10
11/30/2021,20,0,23
12/01/2021,12,0,22
12/02/2021,7,0,10
12/03/2021,25,1,24
12/04/2021,14,0,28
12/05/2021,28,0,31
12/06/2021,9,0,23
12/07/2021,9,0,47
12/08/2021,12,1,34
12/09/2021,10,0,25
12/10/2021,16,0,36
12/11/2021,18,0,29
12/12/2021,10,0,23
12/13/2021,5,0,15
12/14/2021,5,0,21
12/15/2021,7,0,23
12/16/2021,6,1,26
12/17/2021,3,1,13
12/18/2021,8,0,20
12/19/2021,1,0,11
12/20/2021,2,1,13
12/21/2021,4,0,21
12/22/2021,3,0,17
12/23/2021,1,0,15
12/24/2021,4,0,40
12/25/2021,4,0,20
12/26/2021,7,0,12
12/27/2021,3,0,13
12/28/2021,3,0,11
12/29/2021,1,1,10
12/30/2021,4,0,16
12/31/2021,6,0,10